TimeDeltaIndex,Time_s,P_fuel_kW,P_thermal_kW,T_out_degC,G_losses,eta,T_ext_degC,P_demand_kW,T_supply_degC,T_return_degC,anomaly
0,0,5733.94,5937.5,20,750,1.04,19.1,612.31,75,52.42,0
300,300,5733.94,5155.89,48.77,750,0.9,18.93,609.32,75,52.54,0
600,600,3092.44,2719.57,72.76,750,0.88,18.77,606.34,75,52.66,0
900,900,774.76,657.43,74.84,750,0.85,18.6,603.36,75,52.77,0
1200,1200,757.55,642.27,74.87,750,0.85,18.43,600.37,75,52.89,0
1500,1500,754.74,639.47,74.88,750,0.85,18.27,597.39,75,53.01,3
1800,1800,751.94,636.68,74.9,750,0.85,18.1,594.4,75,53.12,3
2100,2100,749.18,633.93,74.91,750,0.85,17.93,591.42,75,53.24,3
2400,2400,746.4,631.17,74.92,750,0.85,17.77,588.44,75,53.36,3
2700,2700,743.66,628.45,74.93,750,0.85,17.6,585.45,75,53.48,3
3000,3000,740.54,625.36,74.94,750,0.84,17.43,582.47,75,53.59,3
3300,3300,737.49,622.37,74.95,750,0.84,17.27,579.48,75,53.71,3
3600,3600,735.03,619.97,74.95,750,0.84,17.1,576.5,75,53.83,3
3900,3900,734.04,619.01,74.96,750,0.84,16.92,575.65,75,53.86,3
4200,4200,733.24,618.22,74.96,750,0.84,16.75,574.8,75,53.89,3
4500,4500,732.57,617.54,74.97,750,0.84,16.57,573.94,75,53.93,3
4800,4800,731.95,616.91,74.97,750,0.84,16.4,573.09,75,53.96,3
5100,5100,731.32,616.27,74.97,750,0.84,16.22,572.24,75,53.99,3
5400,5400,730.6,615.55,74.98,750,0.84,16.05,571.39,75,54.03,3
5700,5700,729.88,614.84,74.98,750,0.84,15.87,570.53,75,54.06,3
6000,6000,729.17,614.12,74.98,750,0.84,15.7,569.68,75,54.09,3
6300,6300,728.46,613.42,74.99,750,0.84,15.52,568.83,75,54.13,3
6600,6600,727.76,612.72,74.99,750,0.84,15.35,567.98,75,54.16,3
6900,6900,727.08,612.04,74.99,750,0.84,15.17,567.12,75,54.19,3
7200,7200,726.41,611.38,74.99,750,0.84,15,566.27,75,54.23,0
7500,7500,735.76,619.14,75.03,750,0.84,14.91,565.97,75.05,54.29,0
7800,7800,739.25,621.91,75.07,750,0.84,14.82,565.68,75.09,54.35,0
8100,8100,738.94,621.46,75.12,750,0.84,14.72,565.38,75.14,54.41,0
8400,8400,736.91,619.55,75.17,750,0.84,14.63,565.09,75.18,54.47,0
8700,8700,735.22,617.94,75.22,750,0.84,14.54,564.79,75.23,54.53,0
9000,9000,735.96,618.38,75.27,750,0.84,14.45,564.49,75.28,54.59,0
9300,9300,736.65,618.78,75.31,750,0.84,14.36,564.2,75.32,54.65,0
9600,9600,736.53,618.49,75.36,750,0.84,14.27,563.9,75.37,54.71,0
9900,9900,736.3,618.11,75.41,750,0.84,14.17,563.61,75.41,54.77,0
10200,10200,736.56,618.16,75.45,750,0.84,14.08,563.31,75.46,54.83,0
10500,10500,737.93,619.14,75.5,750,0.84,13.99,563.01,75.5,54.89,0
10800,10800,741.02,621.59,75.54,750,0.84,13.9,562.72,75.55,54.95,0
11100,11100,740.09,620.89,75.59,750,0.84,13.8,564.99,75.6,54.91,0
11400,11400,741.42,622.12,75.64,750,0.84,13.7,567.26,75.65,54.88,0
11700,11700,744.2,624.6,75.69,750,0.84,13.6,569.54,75.7,54.84,0
12000,12000,747.66,627.65,75.74,750,0.84,13.5,571.81,75.75,54.8,0
12300,12300,750.97,630.58,75.79,750,0.84,13.4,574.08,75.8,54.77,0
12600,12600,753.36,632.71,75.84,750,0.84,13.3,576.36,75.85,54.73,0
12900,12900,755.82,634.91,75.89,750,0.84,13.2,578.63,75.9,54.69,0
13200,13200,758.06,636.93,75.93,750,0.84,13.1,580.9,75.95,54.66,0
13500,13500,760.5,639.12,75.98,750,0.84,13,583.18,76,54.62,0
13800,13800,763.61,641.87,76.03,750,0.84,12.9,585.45,76.05,54.59,0
14100,14100,767.85,645.59,76.08,750,0.84,12.8,587.72,76.1,54.55,0
14400,14400,773.69,650.67,76.13,750,0.84,12.7,590,76.15,54.51,0
14700,14700,768.6,646.53,76.17,750,0.84,12.63,592.29,76.18,54.46,0
15000,15000,768.32,646.47,76.2,750,0.84,12.57,594.58,76.22,54.4,0
15300,15300,771.15,649.05,76.23,750,0.84,12.5,596.88,76.25,54.35,0
15600,15600,775.39,652.83,76.27,750,0.84,12.43,599.17,76.28,54.29,0
15900,15900,779.34,656.38,76.3,750,0.84,12.37,601.47,76.32,54.24,0
16200,16200,781.3,658.23,76.33,750,0.84,12.3,603.76,76.35,54.18,0
16500,16500,783.35,660.16,76.36,750,0.84,12.23,606.06,76.38,54.13,0
16800,16800,785.52,662.2,76.4,750,0.84,12.17,608.35,76.42,54.08,0
17100,17100,787.94,664.44,76.43,750,0.84,12.1,610.64,76.45,54.02,0
17400,17400,790.85,667.11,76.46,750,0.84,12.03,612.94,76.48,53.97,0
17700,17700,794.49,670.39,76.5,750,0.84,11.97,615.23,76.52,53.91,0
18000,18000,799.1,674.5,76.53,750,0.84,11.9,617.53,76.55,53.86,0
18300,18300,788.94,666.02,76.53,750,0.84,11.92,618.54,76.54,53.81,0
18600,18600,785.77,663.48,76.52,750,0.84,11.93,619.54,76.53,53.76,0
18900,18900,787.12,664.79,76.52,750,0.84,11.95,620.55,76.53,53.71,0
19200,19200,790.52,667.86,76.51,750,0.84,11.97,621.56,76.52,53.66,0
19500,19500,793.5,670.57,76.5,750,0.85,11.98,622.57,76.51,53.61,0
19800,19800,793.59,670.81,76.49,750,0.85,12,623.58,76.5,53.57,0
20100,20100,793.77,671.13,76.48,750,0.85,12.02,624.59,76.49,53.52,0
20400,20400,794.55,671.97,76.47,750,0.85,12.03,625.6,76.48,53.47,0
20700,20700,795.56,673.01,76.47,750,0.85,12.05,626.61,76.47,53.42,0
21000,21000,796.58,674.05,76.46,750,0.85,12.07,627.62,76.47,53.37,0
21300,21300,797.37,674.88,76.45,750,0.85,12.08,628.63,76.46,53.32,0
21600,21600,797.68,675.31,76.44,750,0.85,12.1,629.64,76.45,53.28,0
21900,21900,786.15,666.18,76.37,750,0.85,12.26,632.87,76.37,53.07,0
22200,22200,783.54,664.69,76.3,750,0.85,12.42,636.1,76.29,52.86,0
22500,22500,786.7,668.14,76.21,750,0.85,12.57,639.32,76.21,52.64,0
22800,22800,792.46,673.84,76.13,750,0.85,12.73,642.55,76.13,52.43,0
23100,23100,797.66,679.08,76.05,750,0.85,12.89,645.78,76.05,52.22,0
23400,23400,799.16,681.15,75.97,750,0.85,13.05,649.01,75.97,52.01,0
23700,23700,800.72,683.28,75.89,750,0.85,13.21,652.23,75.9,51.8,0
24000,24000,803.59,686.55,75.81,750,0.85,13.37,655.46,75.82,51.59,0
24300,24300,806.59,689.95,75.73,750,0.86,13.52,658.69,75.74,51.38,0
24600,24600,808.66,692.54,75.65,750,0.86,13.68,661.92,75.66,51.17,0
24900,24900,808.74,693.41,75.57,750,0.86,13.84,665.15,75.58,50.96,0
25200,25200,805.79,691.62,75.49,750,0.86,14,668.37,75.5,50.75,0
25500,25500,822.62,706.57,75.44,750,0.86,14.17,670.45,75.46,50.69,0
25800,25800,830.06,713.32,75.39,750,0.86,14.33,672.52,75.42,50.63,0
26100,26100,831.45,714.77,75.35,750,0.86,14.5,674.59,75.38,50.56,0
26400,26400,830.09,713.83,75.31,750,0.86,14.67,676.66,75.33,50.5,0
26700,26700,829.31,713.38,75.27,750,0.86,14.83,678.74,75.29,50.44,0
27000,27000,832.41,716.36,75.23,750,0.86,15,680.81,75.25,50.38,0
27300,27300,835.39,719.21,75.19,750,0.86,15.17,682.88,75.21,50.31,0
27600,27600,837.59,721.39,75.15,750,0.86,15.33,684.95,75.17,50.25,0
27900,27900,839.43,723.25,75.11,750,0.86,15.5,687.02,75.12,50.19,0
28200,28200,841.12,724.99,75.06,750,0.86,15.67,689.1,75.08,50.13,0
28500,28500,842.92,726.82,75.02,750,0.86,15.83,691.17,75.04,50.06,0
28800,28800,833.11,718.45,74.99,750,0.86,16,693.24,75,50,0
29100,29100,846.08,729.83,74.98,750,0.86,16.17,692.97,75,50,0
29400,29400,854.31,737.04,74.98,750,0.86,16.33,692.69,75,50,0
29700,29700,858.59,740.8,74.98,750,0.86,16.5,692.41,75,50,0
30000,30000,859.74,741.81,74.98,750,0.86,16.67,692.14,75,50,0
30300,30300,858.58,740.79,74.98,750,0.86,16.83,691.86,75,50,0
30600,30600,855.93,738.46,74.98,750,0.86,17,691.59,75,50,0
30900,30900,852.58,735.53,74.99,750,0.86,17.17,691.31,75,50,0
31200,31200,849.37,732.72,74.99,750,0.86,17.33,691.04,75,50,0
31500,31500,847.11,730.73,74.99,750,0.86,17.5,690.76,75,50,0
31800,31800,846.6,730.29,75,750,0.86,17.67,690.49,75,50,0
32100,32100,848.66,732.1,74.99,750,0.86,17.83,690.21,75,50,0
32400,32400,849.15,732.53,74.99,750,0.86,18,689.94,75,50,0
32700,32700,847.48,731,75,750,0.86,18.17,688.21,75,50.02,0
33000,33000,845.67,729.35,75,750,0.86,18.33,686.48,75,50.03,0
33300,33300,843.74,727.6,75,750,0.86,18.5,684.75,75,50.05,0
33600,33600,841.72,725.78,75,750,0.86,18.67,683.03,75,50.06,0
33900,33900,839.65,723.9,75,750,0.86,18.83,681.3,75,50.08,0
34200,34200,837.55,722,75,750,0.86,19,679.57,75,50.1,0
34500,34500,835.44,720.09,75.01,750,0.86,19.17,677.84,75,50.11,0
34800,34800,833.35,718.2,75.01,750,0.86,19.33,676.12,75,50.13,0
35100,35100,831.31,716.36,75.01,750,0.86,19.5,674.39,75,50.14,0
35400,35400,829.27,714.51,75.01,750,0.86,19.67,672.66,75,50.16,0
35700,35700,827.21,712.65,75.01,750,0.86,19.83,670.94,75,50.18,0
36000,36000,825.91,711.48,75.01,750,0.86,20,669.21,75,50.19,0
36300,36300,823.11,708.64,75.01,750,0.86,20.14,666.91,75,50.28,0
36600,36600,820.55,706.04,75.01,750,0.86,20.28,664.61,75,50.37,0
36900,36900,818.15,703.59,75.01,750,0.86,20.42,662.31,75,50.46,0
37200,37200,815.87,701.24,75.01,750,0.86,20.57,660.01,75,50.55,0
